experiment,classifier,macro_f1,weighted_f1,accuracy
exp1_tfidf,logreg,0.7102812130723382,0.7104389643452247,0.7098659635245002
exp1_tfidf,svm,0.6665715286364899,0.6667435426704574,0.6671940232915843
exp1_tfidf,nb,0.571661784320373,0.5717462066217126,0.573412436827071
exp2_style,logreg,0.3942324845060905,0.3940080062548173,0.4112502746649088
exp2_style,svm,0.35576389624227045,0.355570437900951,0.3998242144583608
exp3_sbert,logreg,0.4170663235219063,0.41686296362908243,0.42535706438145465
exp3_sbert,svm,0.37839869777655544,0.378212463302518,0.4091847945506482
exp4_tfidf_style,logreg,0.7151500240295753,0.7153025540149546,0.7148319050758075
exp4_tfidf_style,svm,0.6750793915033871,0.6752243897104421,0.6760711931443639
exp5_style_sbert,logreg,0.49461240003297985,0.4944994070321443,0.5036695231817183
exp5_style_sbert,svm,0.4667031771202159,0.46658023888578404,0.49281476598549767
exp6_all,logreg,0.7200659415808088,0.7202184294895481,0.7197099538562953
exp6_all,svm,0.6833147292785385,0.6834801385838682,0.6844649527576356
